,ทวีป,ประเทศ,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559
4,เอเชียตะวันออก,เอเชียตะวันออก,"7,611,931","7,601,638","7,076,190","8,167,164","10,345,866","12,525,214","15,911,375","14,603,825","19,908,785","21,593,285"
5,,    กลุ่มอาเซียน,"3,520,051","3,971,429","3,968,579","4,534,235","5,594,577","6,281,153","7,282,266","6,641,772","7,920,481","8,585,251"
6,,        บรูไนดารุสซาลาม,"8,987","9,055","8,353","7,073","7,471","10,459","14,205","11,285","13,836","14,023"
7,,        กัมพูชา,"99,945","85,790","96,586","146,274","265,903","423,642","481,595","550,339","537,950","674,975"
8,,        อินโดนีเซีย,"237,592","247,930","227,205","286,072","370,795","447,820","594,251","497,592","469,125","534,797"
9,,        ลาว,"513,701","621,564","655,034","715,345","891,950","975,999","976,639","1,053,983","1,220,522","1,388,020"
10,,        มาเลเซีย,"1,540,080","1,805,332","1,757,813","2,058,956","2,500,280","2,554,397","3,041,097","2,613,418","3,418,855","3,494,890"
11,,        พม่า,"72,205","71,902","79,279","90,179","110,671","129,385","172,383","206,794","259,678","341,626"
12,,        ฟิลิปปินส์,"205,266","221,506","217,705","246,430","268,375","289,566","321,571","304,813","310,968","339,150"
13,,        สิงคโปร์,"604,603","570,047","563,575","603,538","682,364","831,215","955,468","844,133","938,385","967,550"
14,,        เวียดนาม,"237,672","338,303","363,029","380,368","496,768","618,670","725,057","559,415","751,162","830,220"
15,,    จีน,"907,117","826,660","777,508","1,122,219","1,721,247","2,786,860","4,637,335","4,636,298","7,936,795","8,757,646"
16,,    ฮ่องกง,"367,862","337,827","318,762","316,476","411,834","473,666","588,335","483,131","669,617","751,264"
17,,    ญี่ปุ่น,"1,277,638","1,153,868","1,004,453","993,674","1,127,893","1,373,716","1,536,425","1,267,886","1,381,702","1,439,510"
18,,    เกาหลี,"1,083,652","889,210","618,227","805,445","1,006,283","1,163,619","1,295,342","1,122,566","1,373,045","1,464,200"
19,,    ไต้หวัน,"427,474","393,176","362,783","369,220","447,610","394,225","502,176","394,149","552,699","522,273"
20,,    ประเทศอื่น ๆ,"28,137","29,468","25,878","25,895","36,422","51,975","69,496","58,023","74,446","73,141"
21,ยุโรป,ยุโรป,"3,905,271","3,984,614","4,059,988","4,442,375","5,101,406","5,650,619","6,305,945","6,161,893","5,631,438","6,174,957"
22,,    ออสเตรีย,"81,391","80,561","85,786","90,026","89,242","94,667","106,278","100,968","97,869","100,373"
23,,    เบลเยียม,"72,018","76,132","80,420","80,000","82,610","94,896","101,109","99,729","106,090","111,013"
24,,    เดนมาร์ก,"141,110","149,683","144,834","152,398","164,096","167,499","163,186","160,977","159,435","165,581"
25,,    ฟินแลนด์,"143,266","155,143","156,000","146,946","157,046","154,919","141,692","142,425","134,750","134,238"
26,,    ฝรั่งเศส,"373,090","398,407","427,067","461,670","515,572","576,106","611,582","635,073","681,114","738,878"
27,,    เยอรมนี,"544,495","542,726","573,473","606,874","619,133","682,419","737,658","715,240","761,819","837,885"
28,,    ไอร์แลนด์,"73,734","73,380","65,530","57,515","58,945","60,305","63,522","63,038","64,758","67,486"
29,,    อิตาลี,"171,328","159,513","170,105","168,203","185,869","200,703","207,192","219,875","246,094","265,597"
30,,    เนเธอร์แลนด์,"194,434","193,541","205,412","196,994","198,891","208,122","218,765","211,524","221,619","235,762"
31,,    นอร์เวย์,"108,941","124,600","121,575","132,108","136,931","148,796","154,049","145,207","135,382","131,039"
32,,    รัสเซีย,"277,503","324,120","336,965","644,678","1,054,187","1,316,564","1,746,565","1,606,430","884,136","1,090,083"
33,,    สเปน,"82,111","80,369","75,362","67,242","95,383","113,141","123,084","116,983","150,995","168,900"
34,,    สวีเดน,"378,387","392,274","350,819","355,214","373,856","364,681","341,398","324,865","321,690","332,895"
35,,    สวิตเซอร์แลนด์,"146,511","143,065","148,269","155,761","170,044","191,147","199,923","201,271","206,480","209,057"
36,,    สหราชอาณาจักร,"859,010","826,523","841,425","810,727","844,972","873,053","905,024","907,877","947,568","1,004,345"
37,,    กลุ่มยุโรปตะวันออก,"148,302","164,029","181,247","211,672","240,886","280,976","346,230","370,726","365,064","409,723"
38,,    ประเทศอื่น ๆ,"109,640","100,548","95,699","104,347","113,743","122,625","138,688","139,685","146,575","172,102"
39,อเมริกา,อเมริกา,"920,366","909,017","853,380","844,644","952,519","1,083,433","1,166,633","1,099,709","1,235,468","1,407,458"
40,,    อาร์เจนตินา,"6,704","7,132","7,458","10,292","12,970","17,853","21,035","21,438","28,961","45,322"
41,,    บราซิล,"15,056","16,805","17,650","20,390","24,560","30,387","37,263","46,378","48,608","67,469"
42,,    แคนาดา,"183,440","180,900","169,482","168,393","194,356","219,354","229,897","211,059","227,601","244,869"
43,,    สหรัฐอเมริกา,"681,972","669,097","627,074","611,792","681,748","768,638","823,486","763,520","867,505","975,643"
44,,    ประเทศอื่น ๆ,"33,194","35,083","31,716","33,777","38,885","47,201","54,952","57,314","62,793","74,155"
45,เอเชียใต้,เอเชียใต้,"709,811","711,290","826,437","995,321","1,158,092","1,286,861","1,347,585","1,239,183","1,404,271","1,523,555"
46,,    บังกลาเทศ,"44,789","46,682","53,420","68,081","65,150","72,657","82,418","88,134","107,394","100,263"
47,,    อินเดีย,"536,356","536,964","614,566","760,371","914,971","1,013,308","1,050,889","932,603","1,069,422","1,194,508"
48,,    เนปาล,"19,546","20,589","25,499","28,621","25,382","26,277","25,455","25,887","32,678","42,486"
49,,    ปากีสถาน,"46,656","49,169","63,260","65,171","73,727","71,982","78,986","75,398","78,635","75,308"
50,,    ศรีลังกา,"44,327","38,993","47,138","49,738","53,636","73,346","76,260","77,441","75,434","68,195"
51,,    ประเทศอื่น ๆ,"18,137","18,893","22,554","23,339","25,226","29,291","33,577","39,720","40,708","42,795"
52,โอเชียเนีย,โอเชียเนีย,"764,072","794,331","737,460","789,632","933,534","1,046,755","1,021,936","942,706","922,977","910,901"
53,,    ออสเตรเลีย,"658,148","694,473","646,705","698,046","829,855","930,241","900,460","831,854","807,450","796,370"
54,,    นิวซีแลนด์,"104,195","97,894","88,398","89,364","101,092","113,871","118,395","108,081","112,411","111,595"
55,,    ประเทศอื่น ๆ,"1,729","1,964","2,357","2,222","2,587","2,643","3,081","2,771","3,116","2,936"
56,ตะวันออกกลาง,ตะวันออกกลาง,"436,100","464,330","483,983","569,334","601,146","605,477","630,243","597,892","658,278","747,219"
57,,    อียิปต์,"13,037","14,122","15,733","16,729","16,703","19,918","28,175","28,934","25,216","28,114"
58,,    อิสราเอล,"128,674","108,275","110,884","116,050","125,093","129,551","134,874","138,778","141,031","161,579"
59,,    คูเวต,"31,910","32,130","44,500","41,224","55,788","64,611","71,173","57,845","66,779","61,563"
60,,    ซาอุดีอาระเบีย,"22,483","16,489","10,911","8,463","12,521","17,084","21,452","12,860","19,168","24,834"
61,,    สหรัฐอาหรับเอมิเรตส์,"74,957","95,490","83,625","105,162","108,608","113,547","123,926","117,907","124,719","130,941"
62,,    ประเทศอื่น ๆ,"165,039","197,824","218,330","281,706","282,433","260,766","250,643","241,568","281,365","340,188"
63,แอฟริกา,แอฟริกา,"116,677","119,000","112,403","127,930","137,907","155,544","163,008","164,475","161,968","172,213"
64,,    สาธารณรัฐแอฟริกาใต้,"52,788","48,566","43,277","57,100","68,496","76,326","75,748","72,941","75,911","79,172"
65,,    ประเทศอื่น ๆ,"63,889","70,434","69,126","70,830","69,411","79,218","87,260","91,534","86,057","93,041"
66,     หมายเหตุ:  ,,,,,,,,,,,
67,            ที่มา: กรมการท่องเที่ยว กระทรวงการท่องเที่ยวและกีฬา,,,,,,,,,,,
68,,,,,,,,,,,,
